KRT16P4,ENSG00000229526
CTAG1A,ENSG00000268651
RN7SL202P,ENSG00000266627
UNC5B-AS1,ENSG00000237512
RHOXF1-AS1,ENSG00000258545
TMED7-TICAM2,ENSG00000251201
OR51E2,ENSG00000167332
KCTD21-AS1,ENSG00000246174
CDK11B,ENSG00000248333
RN7SL334P,ENSG00000244618
RN7SL201P,ENSG00000242118
ACTG1P19,ENSG00000237999
SNORD65,ENSG00000277512
ACTG1P15,ENSG00000259904
ACTG1P16,ENSG00000260298
LINC01750,ENSG00000231437
RN7SL357P,ENSG00000265894
GOT2P1,ENSG00000231900
LINC01749,ENSG00000272259
LINC01744,ENSG00000236497
SNORD97,ENSG00000238622
CEP95,ENSG00000258890
SNORD98,ENSG00000283551
SNORD95,ENSG00000264549
LINC00410,ENSG00000231674
LINC01742,ENSG00000275852
SNORD92,ENSG00000264994
MIR7162,ENSG00000284277
MIR7161,ENSG00000278571
TRIM39-RPP21,ENSG00000248167
IGFL2-AS1,ENSG00000268621
INTS6P1,ENSG00000250492
LINC01738,ENSG00000227947
CRB3P1,ENSG00000232563
RN7SL356P,ENSG00000266553
LINC00402,ENSG00000235532
INMT-MINDY4,ENSG00000254959
RNU6-314P,ENSG00000252383
LINC01736,ENSG00000228058
SNORD87,ENSG00000254341
SNORD84,ENSG00000265236
LINC01730,ENSG00000275491
LINC01732,ENSG00000237292
GLYATL1P1,ENSG00000255189
GLYATL1P2,ENSG00000254717
MIR7152,ENSG00000274824
MIR7150,ENSG00000274932
TUBAP4,ENSG00000261665
PHYHIPL,ENSG00000165443
CHMP1AP1,ENSG00000226662
SNCA-AS1,ENSG00000247775
RPSAP74,ENSG00000253621
RPSAP73,ENSG00000274319
TBC1D3P1-DHX40P1,ENSG00000267104
RN7SL488P,ENSG00000264271
LINC01766,ENSG00000224910
ICOS,ENSG00000163600
MIR7155,ENSG00000278359
DACT3-AS1,ENSG00000245598
LINC01761,ENSG00000233907
LINC01760,ENSG00000228504
MAPK8IP1P1,ENSG00000262500
NEXN-AS1,ENSG00000235927
RPSAP71,ENSG00000254256
RPSAP70,ENSG00000250327
RPSAP65,ENSG00000223683
RN7SL221P,ENSG00000239472
RN7SL487P,ENSG00000243871
PAH,ENSG00000171759
LINC00426,ENSG00000238121
NLGN4Y-AS1,ENSG00000228787
C1QTNF9,ENSG00000240654
MIR3609,ENSG00000266019
MIR622,ENSG00000283783
MIR3615,ENSG00000284186
MIR3614,ENSG00000284542
MIR631,ENSG00000284343
MIR3617,ENSG00000266071
MIR630,ENSG00000283798
RPSAP52,ENSG00000241749
RN7SL220P,ENSG00000266467
RPSAP51,ENSG00000244131
MIR3611,ENSG00000266228
RN7SL353P,ENSG00000263608
MIR3610,ENSG00000283956
RPSAP57,ENSG00000267524
MIR3613,ENSG00000264864
ZNF280B,ENSG00000277421
C1QTNF5,ENSG00000223953
LINC01700,ENSG00000232837
RNU6-577P,ENSG00000252756
ABCA17P,ENSG00000238098
MIR639,ENSG00000283822
MIR637,ENSG00000283928
MIR636,ENSG00000283805
MIR3605,ENSG00000284154
RPSAP48,ENSG00000240590
RPSAP32,ENSG00000238075
DNAAF4-CCPG1,ENSG00000261771
RN7SL351P,ENSG00000240098
RPSAP36,ENSG00000243175
RPSAP34,ENSG00000239939
RNU1-104P,ENSG00000253089
GPC5-AS1,ENSG00000235984
RPSAP39,ENSG00000244002
RPSAP38,ENSG00000239694
RNU6-313P,ENSG00000252126
RNU1-14P,ENSG00000199629
MIR658,ENSG00000284197
RN7SL350P,ENSG00000243254
RN7SL483P,ENSG00000244091
RNU1-103P,ENSG00000252311
LINC01717,ENSG00000232812
RPSAP29,ENSG00000244722
LINC01711,ENSG00000268941
RNU6-445P,ENSG00000252758
PF4,ENSG00000163737
CCDC71L,ENSG00000253276
RNU6-41P,ENSG00000207472
RN7SL65P,ENSG00000243770
RNU6-1141P,ENSG00000201390
RN7SL709P,ENSG00000241032
STPG2-AS1,ENSG00000251620
MIR3658,ENSG00000283936
RN7SL482P,ENSG00000241587
PDCL3P7,ENSG00000256777
MIR3655,ENSG00000284325
AGBL1-AS1,ENSG00000260125
MIR3654,ENSG00000284135
MIR3657,ENSG00000266370
PTCD2P1,ENSG00000258456
MIR3651,ENSG00000281156
MIR3650,ENSG00000265304
TUBB7P,ENSG00000251297
MIR3652,ENSG00000284503
RNU6-573P,ENSG00000206665
LINC00499,ENSG00000251372
RNU6-572P,ENSG00000252533
LINC00494,ENSG00000235621
GOLGA8T,ENSG00000284076
RNU6-40P,ENSG00000206981
LINC00491,ENSG00000250682
LINC00492,ENSG00000250958
PAGE2B,ENSG00000238269
RN7SL66P,ENSG00000264030
GOLGA8J,ENSG00000278119
GOLGA8M,ENSG00000188626
RN7SL708P,ENSG00000265675
GPAT2P1,ENSG00000237510
SNORD18C,ENSG00000199574
RN7SL481P,ENSG00000240322
MIR3649,ENSG00000266043
OR2L13,ENSG00000196071
GOLGA8F,ENSG00000153684
MIR3646,ENSG00000266151
GOLGA8H,ENSG00000261794
SEC63P2,ENSG00000250416
LINC00487,ENSG00000205837
MXRA5Y,ENSG00000235649
CCDC27,ENSG00000162592
RPEP1,ENSG00000250732
PXN-AS1,ENSG00000255857
SNORD19B,ENSG00000238862
MIR600,ENSG00000283941
MIR610,ENSG00000207874
KRBOX1,ENSG00000240747
RN7SL480P,ENSG00000266187
OR4A2P,ENSG00000227547
CCDC13,ENSG00000244607
RPL41P2,ENSG00000256338
TRBV29-1,ENSG00000232869
RNU6-1273P,ENSG00000199903
MIR3619,ENSG00000266533
MIR614,ENSG00000283759
MIR612,ENSG00000283791
MIR611,ENSG00000284108
RN7SL706P,ENSG00000244677
SOD1P2,ENSG00000261282
GOLGA6A,ENSG00000159289
CTC-338M12.4,ENSG00000233937
RUVBL1-AS1,ENSG00000239608
GOLGA6B,ENSG00000215186
MIR3621,ENSG00000263697
LARP1BP2,ENSG00000243438
LINC00461,ENSG00000245526
LINC00462,ENSG00000233610
LINC00463,ENSG00000234056
CHMP1B2P,ENSG00000278530
SNORD13E,ENSG00000238311
LINC01790,ENSG00000230173
RN7SL838P,ENSG00000243562
FRG1CP,ENSG00000282826
RNU6-1146P,ENSG00000252091
ECM1P2,ENSG00000249995
RN7SL60P,ENSG00000243366
NPIPA2,ENSG00000278308
LINC00458,ENSG00000234787
CCDC54,ENSG00000138483
CA15P1,ENSG00000241527
LINC01787,ENSG00000231987
MIR3692,ENSG00000266617
LINC01781,ENSG00000234184
RN7SL704P,ENSG00000241693
SNORD14A,ENSG00000272034
TRPC5,ENSG00000072315
LINC00452,ENSG00000229373
UGT1A1,ENSG00000241635
MIR1273C,ENSG00000264814
PCDHGB8P,ENSG00000248449
RNU6-928P,ENSG00000252685
LURAP1L-AS1,ENSG00000235448
SUPT16HP1,ENSG00000256238
MIR3684,ENSG00000265213
PECAM1,ENSG00000261371
MIR3685,ENSG00000265917
MIR2355,ENSG00000253008
ECEL1P2,ENSG00000290681
LINC00442,ENSG00000232685
MIR3682,ENSG00000265452
LINC01775,ENSG00000267201
LINC00445,ENSG00000236036
RN7SL836P,ENSG00000241226
RNU6-571P,ENSG00000206855
RN7SL703P,ENSG00000266317
LINC00485,ENSG00000258169
KNOP1P2,ENSG00000270429
TSSC2,ENSG00000290960
MIR499B,ENSG00000283441
RNU6-1143P,ENSG00000251934
TGFBR3L,ENSG00000260001
MIR3679,ENSG00000263813
MIR3678,ENSG00000264511
LINC00479,ENSG00000236384
UGT1A5,ENSG00000288705
MIR3672,ENSG00000265456
UGT1A4,ENSG00000244474
CEACAM21,ENSG00000007129
UGT1A3,ENSG00000288702
MIR3674,ENSG00000283858
HTR2A-AS1,ENSG00000224517
C1DP5,ENSG00000254965
UGT1A9,ENSG00000241119
UGT1A8,ENSG00000242366
MIR3671,ENSG00000265996
UGT1A7,ENSG00000244122
POLR2M,ENSG00000255529
LINC00473,ENSG00000112541
RNU6-42P,ENSG00000206892
RNU6-570P,ENSG00000252860
RN7SL702P,ENSG00000243980
LINC00474,ENSG00000204148
RN7SL835P,ENSG00000264250
TMEM256-PLSCR3,ENSG00000262481
RNU6-1144P,ENSG00000206974
COL4A2-AS2,ENSG00000224821
OR5AC4P,ENSG00000251090
RNU6-1278P,ENSG00000251939
MIR4999,ENSG00000265390
MIR3667,ENSG00000264139
MIR3662,ENSG00000283409
MIR3661,ENSG00000266751
LINC01799,ENSG00000230525
NPIPB8,ENSG00000255524
CCDC60,ENSG00000183273
RN7SL834P,ENSG00000243650
FGF10-AS1,ENSG00000248464
OR52N2,ENSG00000180988
MIR6780B,ENSG00000276770
RNU6-1138P,ENSG00000202229
MIR6780A,ENSG00000275273
RN7SL833P,ENSG00000244080
RNU7-149P,ENSG00000252548
GYG1P1,ENSG00000251633
OXCT2P1,ENSG00000237624
MIR2276,ENSG00000252695
MIR2277,ENSG00000284336
MIR2278,ENSG00000252153
CTAGE15,ENSG00000285172
OR7E10P,ENSG00000254724
RN7SL832P,ENSG00000243819
TARS2P1,ENSG00000248104
SNORD11B,ENSG00000271852
RNU6-927P,ENSG00000252008
ABCC6P1,ENSG00000291057
ABCC6P2,ENSG00000290943
RNU6-1136P,ENSG00000252643
SNORD112,ENSG00000275662
RNU6-48P,ENSG00000206888
TRPM5,ENSG00000070985
SNORD127,ENSG00000239043
OR52K1,ENSG00000196778
PM20D1,ENSG00000162877
RNU6-1137P,ENSG00000252882
SNORD124,ENSG00000238793
RNU6-1004P,ENSG00000252393
IFNA5,ENSG00000147873
PRL,ENSG00000172179
XIAPP1,ENSG00000270333
RN7SL57P,ENSG00000242256
FLJ38576,ENSG00000279943
MIR3680-1,ENSG00000265462
MIR3680-2,ENSG00000266758
CHMP1B,ENSG00000255112
RNU6-921P,ENSG00000207089
RPL3P13,ENSG00000258013
RN7SL58P,ENSG00000241552
CXORF51A,ENSG00000224440
OR7E12P,ENSG00000189398
C1QB,ENSG00000173369
C1QA,ENSG00000173372
PTGER3,ENSG00000050628
RN7SL55P,ENSG00000243227
KRT7-AS,ENSG00000257671
MIR200CHG,ENSG00000257084
VN1R51P,ENSG00000228038
TRBV30,ENSG00000282297
RNU6-1007P,ENSG00000252395
CHEK2P2,ENSG00000290857
PYY2,ENSG00000290671
RNU6-922P,ENSG00000252562
C1QC,ENSG00000159189
IGSF11-AS1,ENSG00000239877
CWC25,ENSG00000273559
RPL17P19,ENSG00000241261
DISC1FP1,ENSG00000261645
RPSAP12,ENSG00000240087
RPSAP11,ENSG00000237433
MTND5P1,ENSG00000227999
SRGAP3-AS4,ENSG00000235830
RPSAP15,ENSG00000237506
RPS6P25,ENSG00000240616
MTND5P5,ENSG00000251149
MTND5P4,ENSG00000251212
HTR5A-AS1,ENSG00000220575
MTND5P9,ENSG00000248748
RPL9P6,ENSG00000241891
RPL9P7,ENSG00000238103
TUG1,ENSG00000253352
RN7SL219P,ENSG00000265386
RPL17P36,ENSG00000236058
GTSCR1,ENSG00000263417
RNU7-141P,ENSG00000238777
CHMP4A,ENSG00000254505
OR52D1,ENSG00000181609
CHRNA6,ENSG00000147434
HMHB1,ENSG00000158497
RPL30P10,ENSG00000243050
RN7SL218P,ENSG00000244194
RPL30P12,ENSG00000240631
RPL17P37,ENSG00000241590
RPL17P45,ENSG00000267664
RNU7-140P,ENSG00000238364
IL21R-AS1,ENSG00000259954
RN7SL217P,ENSG00000264706
EIF3IP1,ENSG00000237064
ABCA11P,ENSG00000251595
CYP4F35P,ENSG00000290462
NMUR2,ENSG00000132911
XAGE3,ENSG00000171402
NMUR1,ENSG00000171596
LMO7-AS1,ENSG00000261105
RN7SL216P,ENSG00000244404
RNU6-307P,ENSG00000252552
MIR593,ENSG00000207588
RIMBP3B,ENSG00000274600
RPL18P1,ENSG00000242417
RN7SL215P,ENSG00000242201
SLFNL1-AS1,ENSG00000281207
SPECC1L-ADORA2A,ENSG00000258555
MIR7110,ENSG00000284421
RTEL1P1,ENSG00000251441
THBS2,ENSG00000186340
WASHC5-AS1,ENSG00000253167
RPS27P18,ENSG00000233135
ATXN2-AS,ENSG00000258099
ZNF286B,ENSG00000290687
SND1-IT1,ENSG00000279078
CYYR1,ENSG00000166265
MIR7113,ENSG00000284293
MIR7111,ENSG00000276712
MIR7112,ENSG00000284054
RN7SL346P,ENSG00000240470
RN7SL479P,ENSG00000239560
RNU7-143P,ENSG00000252590
RPS27P27,ENSG00000244043
RPS27P26,ENSG00000240043
RNU6-308P,ENSG00000212259
MIR7108,ENSG00000283728
RN7SL213P,ENSG00000239820
MIR7109,ENSG00000284082
MIR7106,ENSG00000276908
MIR7107,ENSG00000284402
RPS27P22,ENSG00000241451
TRBV8-1,ENSG00000243889
RN7SL369P,ENSG00000241542
RN7SL236P,ENSG00000243870
CCDC148-AS1,ENSG00000227480
RNU7-170P,ENSG00000239082
HCCAT5,ENSG00000260880
RNU6-327P,ENSG00000252079
A1BG-AS1,ENSG00000268895
RRN3P3,ENSG00000290865
ZNF285,ENSG00000267508
LRRC37A17P,ENSG00000263142
ELOCP31,ENSG00000256021
RN7SL368P,ENSG00000239948
THEGL,ENSG00000249693
IDO2,ENSG00000188676
KIAA0040,ENSG00000235750
OR2I1P,ENSG00000237988
RN7SL101P,ENSG00000243548
RN7SL234P,ENSG00000241391
ZNF260,ENSG00000254004
OR14K1,ENSG00000153230
RN7SL91P,ENSG00000240439
RN7SL233P,ENSG00000242971
RN7SL100P,ENSG00000240306
RN7SL366P,ENSG00000266128
RN7SL499P,ENSG00000239202
GMPSP1,ENSG00000250471
ZNF253,ENSG00000256771
WFIKKN2,ENSG00000173714
PIGW,ENSG00000275600
RNU6-1282P,ENSG00000252544
PIGY,ENSG00000255072
SNORD13P3,ENSG00000239128
SNORD13P1,ENSG00000238498
RNU7-174P,ENSG00000252057
RN7SL498P,ENSG00000263755
CTLA4,ENSG00000163599
RNU6-456P,ENSG00000207222
RNU6-589P,ENSG00000252294
RNU6-323P,ENSG00000253739
MYT1L-AS1,ENSG00000225619
LRRD1,ENSG00000240720
RNU6-1150P,ENSG00000252606
FAM138B,ENSG00000226516
FAM138A,ENSG00000237613
C18ORF15,ENSG00000279020
RN7SL364P,ENSG00000243560
RN7SL497P,ENSG00000240847
RNU7-173P,ENSG00000238950
GMCL1P2,ENSG00000271070
RNU6-588P,ENSG00000222213
RNU6-455P,ENSG00000207412
RNU6-322P,ENSG00000251819
RN7SL230P,ENSG00000264916
RN7SL496P,ENSG00000242855
BGLAP,ENSG00000242252
PSMB3,ENSG00000275903
PDCL2P2,ENSG00000255058
KRTAP2-4,ENSG00000263091
NME1P1,ENSG00000237175
KRTAP2-1,ENSG00000261852
RNU6-1281P,ENSG00000252032
PSMB9,ENSG00000243958
RNU7-171P,ENSG00000238406
RN7SL362P,ENSG00000242707
UGT1A10,ENSG00000242515
BNIP3P10,ENSG00000270270
ZBTB22,ENSG00000206280
MIR943,ENSG00000284587
PTENP1,ENSG00000237984
BNIP3P16,ENSG00000267641
BNIP3P15,ENSG00000270716
RN7SL494P,ENSG00000241175
BNIP3P18,ENSG00000269055
TPRG1-AS2,ENSG00000230115
BNIP3P17,ENSG00000271524
BNIP3P11,ENSG00000271550
HDAC11-AS1,ENSG00000244502
OR52H2P,ENSG00000248553
RPL23P10,ENSG00000244708
BNIP3P26,ENSG00000268705
RN7SL493P,ENSG00000266439
BNIP3P29,ENSG00000269742
BNIP3P28,ENSG00000271095
BNIP3P25,ENSG00000268322
RNU6-1288P,ENSG00000251859
TRABD2B,ENSG00000269113
PTOV1-AS1,ENSG00000268006
NF1P8,ENSG00000236956
HMGN1P17,ENSG00000250787
HMGN1P16,ENSG00000249503
RN7SL492P,ENSG00000240545
HMGN1P15,ENSG00000250197
MIR4520-1,ENSG00000264468
HMGN1P14,ENSG00000249439
MIR4520-2,ENSG00000283301
HMGN1P12,ENSG00000247911
HMGN1P10,ENSG00000244101
RNU6-454P,ENSG00000201162
LLPHP1,ENSG00000270793
ALG3P1,ENSG00000251568
RNU6-1152P,ENSG00000207306
RARRES2P6,ENSG00000261010
RN7SL718P,ENSG00000264423
NF1P1,ENSG00000270831
PTPRC,ENSG00000262418
VPS9D1-AS1,ENSG00000261373
CNN2P10,ENSG00000232223
RN7SL491P,ENSG00000264400
RNU6-320P,ENSG00000252320
RNU6-581P,ENSG00000252023
FLT4,ENSG00000037280
RN7SL97P,ENSG00000242216
RN7SL717P,ENSG00000240302
SNORD49A,ENSG00000277370
HMGN1P32,ENSG00000237589
MIR4669,ENSG00000263897
MIR4668,ENSG00000266315
MIR4663,ENSG00000266324
MIR4664,ENSG00000265660
MIR4661,ENSG00000266194
MIR4660,ENSG00000263407
RN7SL716P,ENSG00000263558
CFC1B,ENSG00000152093
TUBB8P3,ENSG00000250307
TUBB8P4,ENSG00000250788
HPRT1P3,ENSG00000256752
TUBB8P5,ENSG00000254381
TUBB8P7,ENSG00000261812
OR14I1,ENSG00000189181
RN7SL98P,ENSG00000240613
RN7SL849P,ENSG00000243115
RNU6-807P,ENSG00000252614
RDH10-AS1,ENSG00000250295
MIR4658,ENSG00000284518
MIR4657,ENSG00000284261
MIR4652,ENSG00000265423
MIR4651,ENSG00000284334
TM4SF1-AS1,ENSG00000240541
MIR4654,ENSG00000266144
MIR4653,ENSG00000264425
RNU6-583P,ENSG00000251821
RN7SL715P,ENSG00000272096
ITIH3,ENSG00000162267
USP27X,ENSG00000273820
KHDC1L,ENSG00000256980
MIR924,ENSG00000283615
MIR922,ENSG00000284146
BNIP3P38,ENSG00000268469
GTF2IP3,ENSG00000187721
BNIP3P37,ENSG00000270479
GTF2IP1,ENSG00000290871
BNIP3P39,ENSG00000269662
CCL8,ENSG00000108700
CCL7,ENSG00000108688
MIR4644,ENSG00000266245
BNIP3P33,ENSG00000268717
MIR4647,ENSG00000284427
CCL5,ENSG00000274233
BNIP3P35,ENSG00000271655
MIR4646,ENSG00000266776
CCL4,ENSG00000275302
MIR4641,ENSG00000266494
RNA5S1,ENSG00000199352
MIR4640,ENSG00000284370
MAPT-IT1,ENSG00000279685
CCL2,ENSG00000108691
RNA5S2,ENSG00000201588
GTF2IP9,ENSG00000251451
MIR4642,ENSG00000266619
RN7SL847P,ENSG00000265319
RNU6-582P,ENSG00000199859
RBMY2FP,ENSG00000290336
MIR939,ENSG00000284310
MIR937,ENSG00000284224
MIR936,ENSG00000283788
BNIP3P40,ENSG00000268058
RN7SL96P,ENSG00000265905
OR2BH1P,ENSG00000272882
MIR940,ENSG00000284346
MIR4637,ENSG00000264792
MIR4639,ENSG00000263712
MIR4636,ENSG00000266415
PRC1-AS1,ENSG00000258725
RNVU1-4,ENSG00000277610
RN7SL713P,ENSG00000264128
RN7SL846P,ENSG00000242818
RNVU1-2,ENSG00000238825
TAS2R62P,ENSG00000234066
MYCBP2-AS1,ENSG00000236051
RNU6-1017P,ENSG00000200483
ZNF436-AS1,ENSG00000249087
RN7SL712P,ENSG00000266828
MTND4LP31,ENSG00000248259
ARRDC3-AS1,ENSG00000281357
RNU6-13P,ENSG00000206975
RN7SL711P,ENSG00000276047
CD1E,ENSG00000158488
CD1C,ENSG00000158481
CD1B,ENSG00000158485
MIR3142HG,ENSG00000253522
CD1A,ENSG00000158477
RNU6-806P,ENSG00000202017
FLNB-AS1,ENSG00000244161
TUBB8P9,ENSG00000235827
IFITM10,ENSG00000281618
HSP90AB7P,ENSG00000235838
RNU6-938P,ENSG00000223217
RNU6-805P,ENSG00000202513
CD28,ENSG00000178562
CD27,ENSG00000139193
MRPL40P1,ENSG00000256037
LRRN1,ENSG00000175928
RNU6-1016P,ENSG00000252498
CD24,ENSG00000272398
PTPRQ,ENSG00000139304
N4BP2L2,ENSG00000244754
MIR3130-1,ENSG00000283469
GRID1-AS1,ENSG00000234942
CTSO,ENSG00000263238
CCR8,ENSG00000179934
AADACP1,ENSG00000291076
YBX1P9,ENSG00000236994
CICP27,ENSG00000233750
SNORD42A,ENSG00000238649
RN7SL841P,ENSG00000239555
SNORD42B,ENSG00000238423
SEBOX,ENSG00000274529
CAP2P1,ENSG00000259151
NCR2,ENSG00000096264
CD48,ENSG00000117091
OR14A2,ENSG00000241128
RAMP3,ENSG00000122679
MESTP3,ENSG00000250927
DNAJB8-AS1,ENSG00000242049
MTND4LP22,ENSG00000248133
MTND4LP24,ENSG00000262259
RN7SL840P,ENSG00000272536
HLA-DQB1-AS1,ENSG00000223534
IFITM4P,ENSG00000235821
NLRP13,ENSG00000173572
MTND4LP10,ENSG00000240084
NKX2-1-AS1,ENSG00000253563
IL17F,ENSG00000112116
IGBP1P5,ENSG00000250858
IL17A,ENSG00000112115
LRCOL1,ENSG00000204583
ADAMTS9-AS1,ENSG00000241158
GSN-AS1,ENSG00000235865
GIMAP4,ENSG00000133574
ADAMTS9-AS2,ENSG00000241684
GIMAP7,ENSG00000179144
GIMAP8,ENSG00000171115
FRRS1L,ENSG00000260230
LRRC2-AS1,ENSG00000268324
ZSWIM8-AS1,ENSG00000272589
OR7E28P,ENSG00000251491
UQCRBP3,ENSG00000249928
SH3PXD2A-AS1,ENSG00000280693
MIRLET7A3,ENSG00000283990
MTND4P2,ENSG00000248704
MTND4P8,ENSG00000248548
MTND4P9,ENSG00000250050
MRPS21P8,ENSG00000259978
MRPS21P5,ENSG00000226395
RN7SL229P,ENSG00000242811
LINC00707,ENSG00000238266
LINC00708,ENSG00000232170
RNU7-175P,ENSG00000251724
LINC00705,ENSG00000225269
LINC00706,ENSG00000281186
TARM1,ENSG00000248385
GTF2IRD2P1,ENSG00000214544
BRDTP1,ENSG00000271209
RN7SL228P,ENSG00000244033
NUTF2P6,ENSG00000259710
FAM74A6,ENSG00000274516
HSP90B2P,ENSG00000259706
FAM74A4,ENSG00000274583
RNU6-319P,ENSG00000251834
MRPL53P1,ENSG00000235299
TEX13A,ENSG00000268629
INTS4P2,ENSG00000273024
RNU6-318P,ENSG00000207010
TEX13C,ENSG00000282815
TEX13D,ENSG00000282419
DNAJA1P2,ENSG00000236917
RN7SL359P,ENSG00000244384
RPL17P2,ENSG00000242135
RPL17P3,ENSG00000271705
TRBV9,ENSG00000282204
ZNF29P,ENSG00000108452
RNU7-179P,ENSG00000252417
RN7SL225P,ENSG00000239856
LIPC-AS1,ENSG00000259293
MYO16-AS1,ENSG00000236242
BPESC1,ENSG00000232416
DAB1-AS1,ENSG00000226759
ATP6V1B1-AS1,ENSG00000239322
TEN1,ENSG00000257949
TRBVB,ENSG00000241911
RPL18AP15,ENSG00000236189
RPL18AP16,ENSG00000237793
LINC01990,ENSG00000273125
CYFIP1,ENSG00000280618
RPLP0P7,ENSG00000238069
RPLP0P2,ENSG00000243742
RN7SL248P,ENSG00000274186
PAPPA-AS1,ENSG00000256040
LCE1A,ENSG00000186844
USP17L5,ENSG00000227140
GNAT3,ENSG00000214415
TMEM92-AS1,ENSG00000251179
RNU6-339P,ENSG00000207037
LINC00656,ENSG00000233746
SPCS2P1,ENSG00000260928
LINC01989,ENSG00000261156
GNAT1,ENSG00000114349
LINC00658,ENSG00000226995
LINC01988,ENSG00000283036
LINC01982,ENSG00000263317
LINC01985,ENSG00000227260
UBE2R2-AS1,ENSG00000235481
RPL9P32,ENSG00000242100
RPL9P33,ENSG00000244071
BISPR,ENSG00000282851
RNU6-1291P,ENSG00000252400
LCE2B,ENSG00000159455
LCE2C,ENSG00000187180
RPS4XP6,ENSG00000244073
LCE2A,ENSG00000187173
LINC00648,ENSG00000259129
RN7SKP154,ENSG00000222068
LINC01979,ENSG00000262585
LINC00649,ENSG00000237945
RN7SL81P,ENSG00000244218
LINC01976,ENSG00000261514
LINC00645,ENSG00000258548
LINC01978,ENSG00000262188
LINC00641,ENSG00000258441
CNTN4-AS2,ENSG00000227588
LINC00682,ENSG00000245870
MTCO3P9,ENSG00000249698
LINC00683,ENSG00000266256
TERC,ENSG00000277925
RN7SL379P,ENSG00000242998
MTCO3P7,ENSG00000249997
DLEU7-AS1,ENSG00000176124
RN7SKP144,ENSG00000223040
RN7SL246P,ENSG00000265093
RN7SL113P,ENSG00000278590
LINC00677,ENSG00000259717
LINC00678,ENSG00000254934
LINC00670,ENSG00000179136
CT47A11,ENSG00000288477
LINC00671,ENSG00000213373
LINC00672,ENSG00000263874
RN7SL378P,ENSG00000265684
LINC00667,ENSG00000263753
LINC01999,ENSG00000267772
LINC00662,ENSG00000261824
LINC01994,ENSG00000241098
LINC01996,ENSG00000261863
LINC00664,ENSG00000268658
ZNF135,ENSG00000176293
LINC01995,ENSG00000244247
GUCY2GP,ENSG00000243316
FMN1,ENSG00000248905
FMN2,ENSG00000155816
RNU6-1294P,ENSG00000251804
RNU6-1161P,ENSG00000251985
NPTN-IT1,ENSG00000281183
MIR4706,ENSG00000266531
MIR4700,ENSG00000284143
ALKBH3-AS1,ENSG00000244926
RN7SL244P,ENSG00000242865
LINC00616,ENSG00000248307
RN7SL111P,ENSG00000243510
RN7SL377P,ENSG00000266569
LINC01948,ENSG00000248727
MIR4701,ENSG00000264201
LINC01942,ENSG00000253428
LINC00613,ENSG00000248330
RNU6-202P,ENSG00000251807
RNU5E-3P,ENSG00000251722
RN7SKP129,ENSG00000222220
PF4V1,ENSG00000109272
RN7SKP127,ENSG00000222375
TAPT1-AS1,ENSG00000263327
ANKRD26P3,ENSG00000237636
NPAP1P4,ENSG00000236521
NCRNA00250,ENSG00000253433
TIMM23,ENSG00000265354
LINC00609,ENSG00000257585
RN7SL110P,ENSG00000241064
LINC00604,ENSG00000250585
OR5BH1P,ENSG00000242610
RN7SL376P,ENSG00000265814
LINC00605,ENSG00000251533
LINC00606,ENSG00000226567
LINC00607,ENSG00000235770
LINC01932,ENSG00000253315
LINC01931,ENSG00000162947
RNU6-467P,ENSG00000276577
RN7SKP119,ENSG00000222685
LINC01933,ENSG00000254226
RNU6-334P,ENSG00000252881
RARA-AS1,ENSG00000265666
RNU6-201P,ENSG00000252909
RN7SKP116,ENSG00000252711
SCARNA13,ENSG00000252481
CCL14,ENSG00000276409
SCARNA14,ENSG00000252712
LINC01970,ENSG00000265692
SCARNA11,ENSG00000251898
SCARNA12,ENSG00000238795
CBX3P2,ENSG00000266405
OCIAD1-AS1,ENSG00000248256
SCARNA10,ENSG00000239002
MIR2052HG,ENSG00000254349
SCARNA17,ENSG00000267322
SCARNA18,ENSG00000238835
SCARNA15,ENSG00000277864
LCE2D,ENSG00000187223
SCARNA16,ENSG00000275143
PRAMEF6,ENSG00000282119
RNU7-160P,ENSG00000252469
PRAMEF5,ENSG00000283150
RN7SL242P,ENSG00000244389
PRAMEF4,ENSG00000243073
RN7SL375P,ENSG00000265745
PRAMEF2,ENSG00000120952
LINC00638,ENSG00000258701
LINC01968,ENSG00000237222
PRAMEF1,ENSG00000116721
LINC00639,ENSG00000259070
MIR548AE2,ENSG00000265699
LINC01964,ENSG00000260840
LINC00635,ENSG00000241469
LINC00636,ENSG00000240423
RN7SKP109,ENSG00000222524
RN7SKP107,ENSG00000201027
LINC01960,ENSG00000260868
PRAMEF9,ENSG00000204505
LINC01963,ENSG00000260804
PRAMEF8,ENSG00000282583
LINC01962,ENSG00000248473
RN7SKP105,ENSG00000253001
PRAMEF7,ENSG00000204510
SCARNA22,ENSG00000249784
SCARNA23,ENSG00000251869
SCARNA20,ENSG00000252577
CCL21,ENSG00000137077
PPIAP27,ENSG00000234363
RPL9P15,ENSG00000240601
SCARNA21,ENSG00000252835
PRSS37,ENSG00000165076
FMO2,ENSG00000094963
TYW1B,ENSG00000277149
NOTCH2P1,ENSG00000226446
GPR6,ENSG00000146360
ZIM2-AS1,ENSG00000286125
MIR3180-4,ENSG00000264115
PPIAP20,ENSG00000235686
LCE4A,ENSG00000187170
LINC00628,ENSG00000280924
RNU6-469P,ENSG00000252062
LINC00622,ENSG00000260941
LINC01954,ENSG00000271952
